region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
CB,5_FerreroRocher,Naive Bayes,Dominant,Reach,3.5808,0.3135,0.3179,0.3372,0.4025,0.4361,0.3973,0.3359,0.307,0.3223,0.2611
CB,5_FerreroRocher,Naive Bayes,Center,Init,3.1661,0.2826,0.2907,0.2851,0.2962,0.3103,0.3337,0.3396,0.3313,0.3253,0.2417
CB,5_FerreroRocher,Naive Bayes,Center,Reach,3.1844,0.285,0.2894,0.3085,0.3497,0.3516,0.338,0.3037,0.2912,0.2958,0.2384
CB,5_FerreroRocher,Naive Bayes,Non-dominant,Init,3.2785,0.3047,0.2917,0.289,0.2957,0.3352,0.3461,0.3474,0.3377,0.3329,0.2631
CB,5_FerreroRocher,Naive Bayes,Non-dominant,Reach,3.2723,0.2947,0.3038,0.3086,0.3385,0.3706,0.3419,0.3121,0.2968,0.3176,0.2523
CB,5_FerreroRocher,Kalman,Push / Pull,Init,3.6382,0.3045,0.3013,0.3042,0.3062,0.3437,0.3596,0.408,0.4058,0.4254,0.3312
CB,5_FerreroRocher,Kalman,Push / Pull,Reach,3.8081,0.3608,0.363,0.3618,0.3822,0.3932,0.3781,0.3772,0.3685,0.3719,0.2929
CB,5_FerreroRocher,Kalman,Dominant,Init,3.7967,0.3367,0.3322,0.3297,0.3404,0.385,0.4015,0.4117,0.4021,0.4039,0.2973
CB,5_FerreroRocher,Kalman,Dominant,Reach,3.8676,0.3406,0.3413,0.358,0.4179,0.4358,0.4201,0.3794,0.3634,0.3599,0.29
CB,5_FerreroRocher,Kalman,Center,Init,3.2817,0.2892,0.2868,0.2913,0.3047,0.3286,0.3578,0.3509,0.3398,0.3424,0.2542
CB,5_FerreroRocher,Kalman,Center,Reach,3.3702,0.2899,0.3018,0.3262,0.3606,0.3695,0.3595,0.3294,0.3128,0.3204,0.2614
CB,5_FerreroRocher,Kalman,Non-dominant,Init,3.5188,0.327,0.3175,0.3112,0.3258,0.3628,0.3722,0.3631,0.3549,0.3585,0.2816
CB,5_FerreroRocher,Kalman,Non-dominant,Reach,3.5202,0.3141,0.3286,0.3427,0.3625,0.3794,0.3657,0.3466,0.3273,0.338,0.2699
